GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.example.backend.model,Especialista,61,22,0,0,22,7,11,5,11,5
backend,com.example.backend.model,Comentario,60,0,0,0,25,0,13,0,13,0
backend,com.example.backend.model,Emocion,46,0,0,0,11,0,8,0,8,0
backend,com.example.backend.model,Cita,15,38,0,0,6,11,1,11,1,11
backend,com.example.backend.model,Examen.Examenes,33,0,0,0,12,0,6,0,6,0
backend,com.example.backend.model,Examen,47,0,0,0,11,0,8,0,8,0
backend,com.example.backend.model,Usuario,49,33,0,0,18,9,8,9,8,9
backend,com.example.backend.model,Emocion.ListaDiario,27,0,0,0,10,0,5,0,5,0
backend,com.example.backend.model,Publicacion,23,49,0,0,11,18,6,9,6,9
backend,com.example.backend.controller,EmocionController,0,51,0,0,0,12,0,3,0,3
backend,com.example.backend.controller,ForoController,0,94,0,2,0,20,0,4,0,3
backend,com.example.backend.controller,CitaController,0,45,0,0,0,9,0,5,0,5
backend,com.example.backend.controller,EspecialistaController,0,122,0,2,0,24,0,8,0,7
backend,com.example.backend.controller,UsuarioController,0,95,0,2,0,24,0,7,0,6
backend,com.example.backend.controller,ExamenController,0,57,0,0,0,13,0,3,0,3
backend,com.example.backend.service,EmocionService,162,0,2,0,37,0,8,0,7,0
backend,com.example.backend.service,EspecialistaService,186,0,16,0,45,0,14,0,6,0
backend,com.example.backend.service,RecordatorioService,139,0,8,0,34,0,10,0,6,0
backend,com.example.backend.service,UsuarioService,71,0,6,0,17,0,8,0,5,0
backend,com.example.backend.service,ExamenService,165,0,2,0,35,0,8,0,7,0
backend,com.example.backend.service,ForoService,111,22,6,0,21,4,7,2,4,2
backend,com.example.backend.service,CitaService,234,4,4,0,45,1,12,1,10,1
backend,com.example.backend.service,EmailService,34,0,0,0,11,0,2,0,2,0
backend,com.example.backend.exception,UsuarioNotFoundException,4,0,0,0,2,0,1,0,1,0
backend,com.example.backend.exception,UsuarioAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
backend,com.example.backend,BackendApplication,8,0,0,0,3,0,2,0,2,0
